AVÖ 1996R Generationentafeln,,,,,,,,,,
,Männer,,,,,Frauen,,,,
80,0.0939633,0.00609524,0.01726129,0.79,0.740477611940298,0.0628663,0.0109230912,0.0183009696,0.72,0.674865671641791
81,0.1038265,0.00588562,0.01687429,0.79638133,0.748122998659701,0.0715314,0.0105938208,0.0179644128,0.72528676,0.681336547379104
82,0.1147278,0.00567585,0.01647679,0.80280178,0.75583188481194,0.0814414,0.0102622272,0.0176230464,0.73086254,0.68810162721194
83,0.1267711,0.005466,0.01606856,0.80926171,0.763604855316418,0.0927706,0.0099282912,0.0172767552,0.73673056,0.695165761241791
84,0.1393243,0.00525613,0.01564936,0.81576152,0.771442535928358,0.1057192,0.0095919936,0.0169254336,0.74289403,0.702533817026866
85,0.1515216,0.0050463,0.01521896,0.82230159,0.779345536791045,0.1195473,0.009253344,0.016568976,0.74935619,0.71021071738806
86,0.1638862,0.00483657,0.01477714,0.82888229,0.787314461725373,0.1333896,0.0089123136,0.0162072576,0.75611914,0.718200329397015
87,0.1767471,0.00462702,0.01432365,0.835504,0.795349927164179,0.1474734,0.0085689024,0.0158401824,0.76318052,0.726502292023881
88,0.1903175,0.00441769,0.01385826,0.84216711,0.803452562256716,0.1620554,0.0082230912,0.0154676448,0.77053688,0.735115184620896
89,0.2050741,0.00420867,0.01338074,0.848872,0.811622989850746,0.1773108,0.00787488,0.01508952,0.77818476,0.744037548143284
90,0.2213,0.004,0.01289087,0.85561905,0.819861835970149,0.1935492,0.0075242592,0.0147057024,0.78612069,0.753267885044776
91,0.2390753,0.00379176,0.0123884,0.86240863,0.82816972021194,0.2110395,0.0071712096,0.0143160864,0.79434121,0.762804678379105
92,0.2583662,0.003584,0.0118731,0.86924114,0.836547294137313,0.2299318,0.0068157216,0.0139205664,0.80284287,0.772646391904478
93,0.2788847,0.00337679,0.01134474,0.87611695,0.844995183716418,0.2501231,0.0064577856,0.0135190272,0.81162219,0.782791431608955
94,0.3002757,0.0031702,0.01080309,0.88303644,0.853514027677612,0.2714322,0.0060974016,0.0131113536,0.82067572,0.793238203391045
95,0.3222411,0.00296429,0.01024792,0.89,0.86210447761194,0.2935812,0.0057345408,0.01269744,0.83,0.803985074626866
96,0.3444248,0.00275911,0.00967898,0.897008,0.870767168955224,0.3162299,0.0053692128,0.0122771904,0.83959156,0.815030374065672
97,0.3665705,0.00255474,0.00909606,0.90406083,0.879502759692537,0.3391737,0.0050013888,0.0118504704,0.84944695,0.826372420910448
98,0.3886051,0.00235124,0.00849891,0.91115886,0.888311891570149,0.3623051,0.0046310688,0.0114171936,0.8595627,0.838009486029851
99,0.4105795,0.00214867,0.00788731,0.91830248,0.897195228967164,0.3855587,0.0042582432,0.0109772352,0.86993535,0.849939821059702
100,0.4325524,0.00194709,0.00726102,0.92549206,0.906153419940298,0.4088902,0.0038828928,0.0105304896,0.88056145,0.862161658507463
101,0.4545267,0.00174657,0.0066198,0.932728,0.915187145074627,0.4322712,0.0035050176,0.0100768416,0.89143751,0.874673162797015
102,0.4764936,0.00154717,0.00596344,0.94001067,0.9242970588,0.4556875,0.0031245984,0.0096161952,0.9025601,0.887472528179104
103,0.4984594,0.00134896,0.00529168,0.94734044,0.933483818638806,0.4791264,0.0027416352,0.0091484352,0.91392574,0.900557870967164
104,0.5204247,0.001152,0.00460431,0.95471771,0.942748114829851,0.5025801,0.0023561088,0.0086734368,0.92553097,0.913927298137313
105,0.54239,0.00095635,0.00390108,0.96214286,0.952090621164179,0.5260412,0.0019680096,0.0081911136,0.93737234,0.927578897641791
106,0.5643566,0.00076207,0.00318177,0.96961625,0.961511994776119,0.5495039,0.0015773376,0.0077013408,0.94944638,0.941510708764179
107,0.5863258,0.00056924,0.00244614,0.97713829,0.971012945495522,0.5729665,0.001184064,0.0072040224,0.96174962,0.955720741785075
108,0.6082989,0.0003779,0.00169396,0.98470933,0.980594126829851,0.5964286,0.0007881888,0.0066990336,0.97427862,0.970207007856716
109,0.6302772,0.00018814,0.000925,0.99232978,0.990256255086567,0.6198894,0.0003897024,0.0061862688,0.9870299,0.984967449462686
110,0.6522621,0.00018814,0.000925,1,1,0.6433484,0.0003897024,0.0061862688,1,1
111,0.6742548,0.00018814,0.000925,1,1,0.6668048,0.0003897024,0.0061862688,1,1
112,0.6962566,0.00018814,0.000925,1,1,0.6902582,0.0003897024,0.0061862688,1,1
113,1,0,0,1,1,1,0,0,1,1
