DAV 1994T Männer,,,,,,DAV 1994T Frauen,,,,,
Alter,t_x,L_x^M,q_x,q_x^a,qbar_x^a,Alter,t_y,L_y^M,q_y,q_y^a,qbar_y^a
21,6,5552,0.001091,0.001217,0.001476,21,2,4885,0.000376,0.000461,0.00056
22,6,5641,0.001065,0.001189,0.001476,22,2,4946,0.000374,0.000457,0.00056
23,6,5651,0.001038,0.00116,0.001476,23,2,4943,0.000375,0.000459,0.00056
24,6,5576,0.001016,0.001138,0.001476,24,2,4890,0.00038,0.000465,0.00056
25,5,5444,0.001003,0.001125,0.001476,25,2,4786,0.000388,0.000475,0.00056
26,5,5306,0.001001,0.001125,0.001476,26,2,4677,0.000401,0.000491,0.00056
27,5,5173,0.001013,0.001139,0.001476,27,2,4551,0.000421,0.000514,0.000581
28,5,5023,0.001038,0.001168,0.001476,28,2,4216,0.000447,0.000546,0.000612
29,5,4894,0.001076,0.00121,0.001476,29,2,4287,0.000479,0.000581,0.000645
30,5,4735,0.001122,0.00126,0.001476,30,2,4162,0.000518,0.000626,0.000689
31,5,4610,0.001172,0.001316,0.001476,31,2,4078,0.000561,0.000674,0.000735
32,6,4471,0.00123,0.001379,0.001489,32,3,3998,0.000606,0.000725,0.000783
33,6,4378,0.001295,0.00145,0.001551,33,3,3954,0.000654,0.000779,0.000833
34,6,4347,0.001373,0.001533,0.001641,34,3,3947,0.000709,0.000838,0.000897
35,6,4358,0.001467,0.001632,0.001747,35,3,3952,0.000773,0.000908,0.000971
36,7,4414,0.001576,0.001746,0.001869,36,3,3979,0.000847,0.000988,0.001057
37,8,4455,0.0017,0.001876,0.002007,37,4,3980,0.000932,0.00108,0.001156
38,8,4396,0.001841,0.002025,0.002167,38,4,3885,0.001027,0.001184,0.001267
39,9,4171,0.002003,0.0022,0.002354,39,4,3673,0.00113,0.001299,0.00139
40,8,3951,0.002189,0.002401,0.002569,40,4,3462,0.001241,0.001424,0.001524
41,9,3579,0.002405,0.002638,0.002823,41,4,3141,0.001362,0.001563,0.001672
42,10,3890,0.00265,0.002885,0.003087,42,5,3413,0.001492,0.001693,0.001812
43,12,4160,0.002928,0.003166,0.003387,43,6,3626,0.001631,0.001836,0.001964
44,14,4442,0.003239,0.003482,0.003726,44,7,3855,0.00178,0.001987,0.002126
45,17,4866,0.003588,0.003832,0.0041,45,8,4225,0.001938,0.002145,0.002295
46,21,5085,0.003975,0.004226,0.004522,46,10,4421,0.002107,0.002318,0.00248
47,24,5417,0.004401,0.004657,0.004983,47,10,4739,0.002289,0.002501,0.002676
48,26,5227,0.004873,0.005147,0.005508,48,12,4579,0.002488,0.002712,0.002902
49,26,4989,0.005401,0.005696,0.006094,49,12,4386,0.002706,0.002945,0.003151
50,29,4794,0.005993,0.006309,0.006751,50,13,4233,0.002946,0.003201,0.003425
51,31,4608,0.006655,0.006995,0.007485,51,13,4087,0.003213,0.003484,0.003728
52,32,4372,0.007391,0.007759,0.008302,52,13,3892,0.003511,0.0038,0.004066
53,33,3903,0.008202,0.008612,0.009215,53,14,3494,0.00384,0.004159,0.00445
54,33,3647,0.009082,0.009528,0.010195,54,14,3295,0.0042,0.004544,0.004862
55,36,3591,0.010029,0.010501,0.011236,55,15,3280,0.004595,0.004956,0.005303
56,41,3683,0.011044,0.011532,0.01234,56,17,3402,0.005029,0.005399,0.005777
57,46,3737,0.012127,0.012635,0.013519,57,19,3474,0.005507,0.00589,0.006302
58,49,3691,0.013283,0.013817,0.014784,58,21,3505,0.006035,0.006434,0.006884
59,51,3508,0.014521,0.015094,0.01615,59,23,3499,0.00662,0.007038,0.00753
60,53,3282,0.015854,0.016472,0.017625,60,26,3556,0.007266,0.007701,0.00824
61,53,3040,0.017296,0.017965,0.019223,61,29,3614,0.00798,0.008432,0.009022
62,54,2819,0.01886,0.019585,0.020956,62,32,3661,0.008768,0.009238,0.009884
63,56,2664,0.020561,0.021339,0.022833,63,35,3662,0.009638,0.01013,0.010839
64,60,2637,0.022416,0.023232,0.024858,64,40,3747,0.010602,0.011112,0.011889
65,66,2659,0.024455,0.025302,0.027073,65,46,3863,0.011674,0.0122,0.013054
66,72,2518,0.02671,0.027618,0.029552,66,51,3742,0.01287,0.013431,0.014371
67,66,2240,0.029228,0.030234,0.03235,67,49,3392,0.014217,0.014836,0.015874
68,57,1596,0.032057,0.033301,0.035632,68,43,2455,0.015747,0.016511,0.017667
69,48,1342,0.035238,0.036658,0.039224,69,37,2081,0.017497,0.018371,0.019657
70,52,1328,0.038812,0.040306,0.043127,70,41,2093,0.019512,0.020431,0.021861
71,68,1481,0.04282,0.044299,0.0474,71,55,2395,0.021845,0.022752,0.024344
72,86,1807,0.047297,0.048701,0.05211,72,73,2991,0.024553,0.025412,0.027191
73,104,1896,0.052277,0.053712,0.057472,73,90,3183,0.027694,0.028576,0.030576
74,111,1886,0.057783,0.05929,0.06344,74,103,3219,0.031317,0.032247,0.034504
75,117,1768,0.06383,0.065457,0.070039,75,111,3090,0.035469,0.036477,0.03903
76,120,1641,0.070429,0.072194,0.077248,76,121,2955,0.040201,0.041294,0.044184
77,123,1519,0.077593,0.079508,0.085073,77,131,2824,0.045557,0.046742,0.050014
78,125,1400,0.085336,0.087415,0.093534,78,141,2677,0.051584,0.052873,0.056574
79,125,1270,0.093674,0.095945,0.102662,79,148,2486,0.058324,0.059739,0.063921
80,122,1134,0.102621,0.105119,0.112477,80,154,2260,0.065817,0.067384,0.072101
81,120,998,0.112187,0.114948,0.122995,81,157,2018,0.074094,0.075842,0.081151
82,114,866,0.12238,0.125449,0.134231,82,155,1789,0.083184,0.085137,0.091096
83,106,736,0.133205,0.136647,0.146212,83,153,1575,0.093114,0.095299,0.10197
84,95,613,0.14467,0.148564,0.158964,84,151,1378,0.103908,0.105353,0.113798
85,84,500,0.156782,0.161226,0.172512,85,145,1178,0.115582,0.118344,0.126628
86,74,397,0.169544,0.174669,0.186896,86,135,987,0.128145,0.131289,0.140479
87,61,305,0.182952,0.188958,0.202185,87,124,806,0.141599,0.145214,0.155379
88,50,227,0.196995,0.204124,0.218413,88,111,648,0.155939,0.160117,0.171325
89,38,167,0.211661,0.220184,0.235597,89,97,514,0.171147,0.175998,0.188318
90,31,122,0.226931,0.237094,0.253691,90,84,399,0.1872,0.192874,0.206375
91,24,87,0.242777,0.255039,0.272891,91,68,300,0.204065,0.210801,0.225558
92,18,62,0.259168,0.273965,0.293142,92,54,221,0.221699,0.229756,0.245839
93,14,43,0.276066,0.294055,0.314638,93,43,158,0.240046,0.249785,0.26727
94,10,29,0.293425,0.315644,0.337739,94,32,109,0.259042,0.271013,0.289983
95,7,20,0.311199,0.338374,0.36206,95,24,73,0.27861,0.293464,0.314007
96,5,13,0.329335,0.363301,0.388732,96,16,45,0.298664,0.317868,0.340119
97,3,8,0.347778,0.391744,0.419166,97,11,29,0.31911,0.343353,0.367388
98,2,5,0.366467,0.422438,0.452008,98,7,18,0.339848,0.371053,0.397027
99,2,3,0.385341,0.454579,0.4864,99,5,11,0.360773,0.400699,0.428748
100,1,2,0.404335,0.492651,0.527137,100,3,7,0.381775,0.432679,0.462967
