"DAV 1994 R, Trend und AV",,,,,,,YOB:,1935,Interest:,,4%,0.961538461538461,<=v
19,0.000235,0.000068,0.024785,0.032518,0.000447,0.00011,19,0.000734871397226632,0.000303486068054112,19,23.0356006547247,23.8633057784385,
20,0.000275,0.000073,0.024785,0.032518,0.000511,0.000111,20,0.000838903848726264,0.000315377218414581,20,22.9338781319804,23.7850564428343,
21,0.00034,0.000073,0.024785,0.032518,0.000617,0.000111,21,0.00101179940885842,0.000305286732380026,21,22.830385755738,23.7039343814384,
22,0.000439,0.000073,0.024785,0.032518,0.000777,0.000111,22,0.001274430145625,0.000295519091187991,22,22.7265959423073,23.6193024163517,
23,0.000485,0.000072,0.024785,0.032518,0.000786,0.000112,23,0.00137350190285118,0.00028214528096811,23,22.6244931160562,23.5310283811277,
24,0.000495,0.00007,0.024785,0.032518,0.000795,0.000112,24,0.00136750441466984,0.000265531437424116,24,22.520404659351,23.438882686514,
25,0.000499,0.000066,0.024785,0.032518,0.000804,0.000112,25,0.00134480741478653,0.000242348007826975,25,22.411869175764,23.3426361977174,
26,0.000508,0.000063,0.024785,0.032518,0.000813,0.000112,26,0.00133554729760804,0.000223930721811481,26,22.2983309035309,23.2419742917937,
27,0.000521,0.000063,0.024785,0.032518,0.000814,0.000113,27,0.00133619331669439,0.000216766064096172,27,22.1798864270511,23.1368343114732,
28,0.000546,0.000068,0.024785,0.032514,0.000832,0.000118,28,0.0013660299643776,0.000226450347640393,28,22.0565537037814,23.027299220951,
29,0.00058,0.000085,0.024785,0.0325,0.000863,0.000143,29,0.00141557077533757,0.000273869374274922,29,21.9287712104882,22.9135799779408,
30,0.000617,0.000124,0.024785,0.032406,0.000894,0.000202,30,0.00146901005935203,0.000385480869112649,30,21.7967769393396,22.7963664036611,
31,0.00066,0.000189,0.024785,0.032215,0.000934,0.000297,31,0.00153292021885197,0.000565130690523684,31,21.6604674615044,22.6769625950575,
32,0.00072,0.000235,0.024785,0.031974,0.000994,0.000357,32,0.00163133864606544,0.000675010005782509,32,21.5198744105557,22.5567886323957,
33,0.00079,0.000264,0.024785,0.031695,0.001063,0.000386,33,0.0017461225893248,0.000727918508564697,33,21.3755401316752,22.4342034895187,
34,0.000844,0.000286,0.024785,0.031351,0.001109,0.000404,34,0.00181981021033204,0.000755872575328076,34,21.227627777322,22.3078098968089,
35,0.000879,0.000312,0.024785,0.030979,0.001112,0.000425,35,0.00184887920193123,0.000790268837187553,35,21.075085544272,22.176885192004,
36,0.000899,0.000342,0.024785,0.030442,0.001115,0.000449,36,0.00184465589899665,0.000826854495567889,36,20.91676153141,22.0413792148063,
37,0.000917,0.000375,0.024785,0.029814,0.001118,0.000475,37,0.00183552802705006,0.000864125511307219,37,20.7517117601791,21.9011434423119,
38,0.000943,0.000414,0.024705,0.029135,0.001121,0.000507,38,0.00183738984801838,0.000909150797106622,38,20.5795545798017,21.7559890851966,
39,0.000988,0.000466,0.024573,0.028507,0.001145,0.000553,39,0.00187165940319805,0.000977861098745547,39,20.4002199199721,21.6058716440318,
40,0.00106,0.000541,0.02442,0.027775,0.001198,0.000622,40,0.0019518329552477,0.00108332931654749,40,20.2140625570327,21.4510826890808,
41,0.001162,0.00064,0.024175,0.02688,0.00128,0.000713,41,0.00207579177337319,0.00121997808732102,41,20.0217040811598,21.2921924529418,
42,0.001297,0.000731,0.023854,0.025955,0.001394,0.00079,42,0.00224497841249829,0.00132793244597766,42,19.8237221637915,21.1296578706543,
43,0.001451,0.000816,0.023489,0.024926,0.001521,0.000857,43,0.00243272243510889,0.00141203379932274,43,19.6207191412529,20.9626812100139,
44,0.001638,0.000907,0.023111,0.023929,0.001676,0.000929,44,0.00266127940219884,0.00149914683725818,44,19.4127737972473,20.7905454112415,
45,0.001864,0.001018,0.022664,0.023099,0.001864,0.001018,45,0.00293293819139557,0.00161578340269244,45,19.2003823311494,20.6130692452564,
46,0.002085,0.001142,0.022022,0.022427,0.002039,0.001117,46,0.00316827366777364,0.00174873752137769,46,18.9840767481184,20.4306034450201,
47,0.002297,0.00123,0.021325,0.021929,0.002201,0.001177,47,0.00337182426796841,0.00182528505504822,47,18.7628857749754,20.2432276746093,
48,0.002507,0.001283,0.020724,0.021594,0.002356,0.001202,48,0.0035658227732599,0.00185206102331175,48,18.5359010068178,20.0495529309189,
49,0.002728,0.00132,0.020176,0.021385,0.002516,0.001212,49,0.00376739861214749,0.00185854093548024,49,18.3026008781116,19.8482953022641,
50,0.002952,0.001369,0.019582,0.021238,0.002677,0.001231,50,0.00395987677254581,0.00188259387435964,50,18.0627545095068,19.6387264914598,
51,0.003174,0.001437,0.019057,0.021162,0.002831,0.001266,51,0.00414453509600161,0.00193252146172489,51,17.8158131144229,19.4208371000777,
52,0.003433,0.001536,0.018511,0.021162,0.003016,0.001324,52,0.00436700541496165,0.0020224054802161,52,17.5612287679575,19.1947648791626,
53,0.003762,0.001662,0.017991,0.021162,0.003258,0.001403,53,0.00466852292209714,0.00214248355625446,53,17.2992237223459,18.9609021066594,
54,0.004162,0.001804,0.017503,0.021162,0.003555,0.001491,54,0.00504566131250636,0.00227683978352737,54,17.0307008887181,18.7194442925047,
55,0.004626,0.001953,0.017079,0.021162,0.0039,0.001581,55,0.00548755369768889,0.00241327959904982,55,16.7564764291192,18.4702759232396,
56,0.005131,0.002108,0.016603,0.021162,0.004274,0.00167,56,0.00595795661202832,0.00255026590621037,56,16.4771547578025,18.2130401183235,
57,0.005666,0.002276,0.016001,0.021162,0.004676,0.001766,57,0.00643976083116212,0.00269585529126879,57,16.1927164501555,17.9473321924542,
58,0.006199,0.002456,0.015535,0.021162,0.005065,0.001866,58,0.00691112884719342,0.00284814529936807,58,15.9028355657424,17.6728689774973,
59,0.00671,0.002633,0.015215,0.021162,0.005422,0.001958,59,0.00735138661830769,0.00298946930150633,59,15.6068096608317,17.389311021041,
60,0.007196,0.00283,0.014891,0.021162,0.005755,0.00206,60,0.00775222823386637,0.00314585814068042,60,15.3035846144115,17.0959914033618,
61,0.007709,0.003083,0.014604,0.021103,0.006102,0.002199,61,0.00817274205555274,0.00335454166611148,61,14.9919490093792,16.7926583805665,
62,0.008288,0.003406,0.014326,0.021026,0.006496,0.002383,62,0.00865196692715569,0.00362776436900724,62,14.671533629669,16.4796463762009,
63,0.008988,0.003797,0.014117,0.020939,0.006971,0.002605,63,0.00924538357823671,0.00395938726110384,63,14.34248568667,16.1574476441063,
64,0.009859,0.004285,0.013996,0.020813,0.007557,0.002885,64,0.00999795671476775,0.00437511826764924,64,14.0056729326707,15.8264084297965,
65,0.010928,0.004884,0.013796,0.020572,0.008293,0.003237,65,0.010928,0.004884,65,13.6624969026257,15.4872232001264,
66,0.012201,0.005629,0.013556,0.020485,0.009178,0.003661,66,0.0120367192546405,0.00551486297477926,66,13.3144976085974,15.1406591072111,
67,0.013603,0.006475,0.01337,0.02032,0.010137,0.004141,67,0.0132440759805995,0.00621713138088734,67,12.9631108387744,14.7878383738244,
68,0.015087,0.007377,0.013252,0.020185,0.011123,0.004637,68,0.0144989675850117,0.0069435422287239,68,12.6086248579551,14.4290592659363,
69,0.01668,0.008338,0.013139,0.020108,0.012169,0.005146,69,0.0158260037941827,0.00769361973443606,69,12.2505907707557,14.0638747447635,
70,0.018427,0.009379,0.012995,0.019939,0.013316,0.005698,70,0.0172677738366052,0.00848905891192019,70,11.8887660583332,13.6917689987219,
71,0.020402,0.010529,0.01274,0.019744,0.014649,0.006302,71,0.0189005861584697,0.00935274005963214,71,11.5232984114879,13.3124499303919,
72,0.022701,0.011845,0.012501,0.01951,0.016198,0.006994,72,0.0207989390122639,0.0103329295330916,72,11.155067665462,12.9258399487002,
73,0.025416,0.013407,0.012211,0.019129,0.018056,0.007848,73,0.0230505791967179,0.0115045770279701,73,10.7855993961313,12.5323696390107,
74,0.028607,0.015298,0.011972,0.018717,0.020216,0.00889,74,0.0256849044315236,0.0129263659927076,74,10.4171445883132,12.1332523609576,
75,0.032237,0.017511,0.011771,0.018356,0.022646,0.010096,75,0.0286572040323879,0.0145744392034596,75,10.0520154274438,11.7302114619246,
76,0.036221,0.019995,0.011429,0.017831,0.025415,0.011504,76,0.0319419457911435,0.0164338173007829,76,9.69183699474869,11.3244676862057,
77,0.04059,0.022809,0.011038,0.017091,0.028511,0.0132,77,0.0355544644573907,0.0185795812399227,77,9.33777724924375,10.9168519440014,
78,0.045418,0.026061,0.010837,0.016469,0.031762,0.015135,78,0.0394497417986459,0.0210382654513496,78,8.99095700031928,10.5087746541808,
79,0.050779,0.029844,0.010553,0.015889,0.03547,0.017388,79,0.0438046897378122,0.0238918599870594,79,8.65191093269162,10.1016467665178,
80,0.056731,0.034237,0.010149,0.015192,0.03977,0.020117,80,0.048719813653135,0.0272601773089981,80,8.32255427797195,9.69740159840595,
81,0.063285,0.039277,0.009894,0.01458,0.044321,0.023237,81,0.0540194590399431,0.0311047053703925,81,8.00548204240008,9.29878416750652,
82,0.070401,0.044981,0.009668,0.014057,0.04923,0.02674,82,0.0597310190541208,0.0354198068209983,82,7.70174544679531,8.90781035065937,
83,0.077983,0.051342,0.009409,0.013501,0.05454,0.030737,83,0.0658335017710488,0.0402653432773572,83,7.41257598188097,8.52611615171281,
84,0.085906,0.058326,0.009106,0.012897,0.060227,0.035271,84,0.0722577563251724,0.0456500619026293,84,7.13906892807637,8.1555466846534,
85,0.094041,0.065881,0.008746,0.01231,0.066281,0.040263,85,0.0789496934129978,0.051503516366903,85,6.88190252058548,7.79773566798332,
86,0.102251,0.073958,0.008414,0.011584,0.072418,0.045997,86,0.0856900378874272,0.0579878418043423,86,6.64152498257821,7.45352799582689,
87,0.110408,0.082525,0.008073,0.010802,0.078658,0.052428,87,0.0924415538905945,0.0650695877329059,87,6.41706448032659,7.12482217694046,
88,0.118399,0.091566,0.007669,0.010022,0.085141,0.059507,88,0.099253112221218,0.0727154605133424,88,6.20758595073502,6.81314350291808,
89,0.126129,0.101059,0.007294,0.009283,0.091502,0.067171,89,0.10587394546564,0.0808756269358807,89,6.0126651140809,6.51975632677072,
90,0.133522,0.110913,0.006861,0.008602,0.098056,0.075313,90,0.112476156647504,0.0894514580696682,90,5.83046617667241,6.24566897372558,
91,0.140465,0.12084,0.006489,0.007939,0.104216,0.083869,91,0.118657874413795,0.0983028831188938,91,5.66033787302327,5.99143865642697,
92,0.147006,0.130591,0.006168,0.00738,0.11001,0.092315,92,0.124454153396242,0.106998017018969,92,5.49928483756577,5.75702872450076,
93,0.153281,0.139987,0.005861,0.006864,0.115695,0.100693,93,0.13008197624372,0.11551005254024,93,5.34438744609346,5.5400883399672,
94,0.159565,0.14895,0.005568,0.006391,0.121466,0.1089,94,0.135772319665001,0.123751024370913,94,5.19378012703761,5.33832169277503,
95,0.165956,0.15752,0.00529,0.005963,0.127386,0.116909,95,0.141602338079037,0.131717889443996,95,5.04673876035591,5.1490554465377,
96,0.172468,0.165792,0.005031,0.005581,0.133438,0.124725,96,0.147562337263842,0.139452353455995,96,4.90286553361751,4.96960332585464,
97,0.179078,0.174001,0.004792,0.005245,0.13958,0.132466,97,0.153619300192885,0.147115949257863,97,4.76161522701107,4.79739556022099,
98,0.185753,0.182224,0.004575,0.004958,0.145758,0.140118,98,0.159723282601195,0.15472087692868,98,4.62212788758422,4.63051381860565,
99,0.192466,0.190467,0.004382,0.004718,0.151914,0.147629,99,0.165824751153217,0.162238415054635,99,4.48306245441253,4.46684919607473,
100,0.199193,0.198722,0.004211,0.004526,0.158012,0.154934,100,0.171895924571257,0.169609182349977,100,4.34247474687945,4.30375804848208,
101,0.208221,0.210417,0.004211,0.004526,0.164479,0.163311,101,0.178931672599638,0.17877987063822,101,4.19774982384294,4.13770034228565,
102,0.217049,0.221987,0.004211,0.004526,0.170732,0.171514,102,0.185734109935074,0.187758548631387,102,4.05040567978824,3.9736098024206,
103,0.225635,0.23336,0.004211,0.004526,0.17674,0.179486,103,0.19227000293219,0.196486617675866,103,3.89605157932726,3.80743212416273,
104,0.233937,0.244465,0.004211,0.004526,0.182474,0.187179,104,0.198506699133146,0.20490739582255,104,3.72883717756429,3.63370352424502,
105,0.24192,0.255237,0.004211,0.004526,0.187907,0.194544,105,0.204418035960522,0.212970258666712,105,3.54087883404321,3.44494672799587,
106,0.249548,0.265614,0.004211,0.004526,0.193017,0.20154,106,0.209977478863123,0.220628022443971,106,3.32148553743962,3.23081131954188,
107,0.256791,0.275543,0.004211,0.004526,0.197785,0.208129,107,0.215163999230641,0.227841838230782,107,3.05604573837067,2.97681189359515,
108,0.263622,0.284974,0.004211,0.004526,0.202193,0.214281,108,0.219959460503388,0.234576074792466,108,2.72450240025862,2.66251717734665,
109,0.270017,0.293863,0.004211,0.004526,0.206228,0.219967,109,0.224348561373084,0.240800712505151,109,2.29921703483048,2.25890229910401,
110,0.275955,0.302175,0.004211,0.004526,0.209878,0.225167,110,0.228318779682482,0.246493671505013,110,1.74200117338223,1.72452531586056,
111,1,1,0,0,1,1,111,1,1,111,1,1,
