,Grundtafel,Grundtafel,Grundtafel,Grundtafel,Grundtafel,Grundtafel
54,0.003299,0.001848,0.003246,0.001827,0.002212,0.001259
55,0.003453,0.001934,0.003371,0.001902,0.002294,0.001306
56,0.003601,0.002035,0.003487,0.00199,0.00237,0.001363
57,0.003755,0.002153,0.003608,0.002094,0.002451,0.00143
58,0.003925,0.002279,0.003742,0.002204,0.00254,0.001504
59,0.004129,0.002417,0.003906,0.002326,0.002649,0.001585
60,0.004376,0.002569,0.004108,0.002459,0.002781,0.001674
61,0.004701,0.002737,0.004379,0.002606,0.002957,0.001771
62,0.005109,0.002921,0.00472,0.002766,0.003176,0.001876
63,0.005594,0.003123,0.005123,0.00294,0.003432,0.001986
64,0.006131,0.003334,0.005565,0.003119,0.003707,0.002096
65,0.006688,0.003589,0.006014,0.003335,0.00398,0.002229
66,0.007301,0.003828,0.0065,0.003532,0.00427,0.002345
67,0.008059,0.004173,0.007102,0.003822,0.004631,0.00252
68,0.00885,0.004591,0.007717,0.004172,0.004995,0.002732
69,0.009671,0.005049,0.008344,0.004552,0.005363,0.002959
70,0.01053,0.005543,0.008991,0.004956,0.005744,0.003199
71,0.011444,0.006118,0.009674,0.005425,0.00615,0.003478
72,0.012448,0.006744,0.010424,0.00593,0.006605,0.00378
73,0.013562,0.007394,0.011261,0.00645,0.007122,0.00409
74,0.014817,0.008134,0.01221,0.007042,0.007722,0.004446
75,0.016312,0.008988,0.013354,0.007727,0.00846,0.004864
76,0.018046,0.009927,0.014694,0.008481,0.009337,0.005328
77,0.020106,0.010914,0.0163,0.009274,0.010403,0.005823
78,0.022552,0.012095,0.018223,0.010231,0.011693,0.006429
79,0.025474,0.013569,0.020535,0.011439,0.013259,0.007203
80,0.028982,0.01546,0.023329,0.013002,0.015167,0.008215
81,0.033119,0.017884,0.026642,0.015024,0.01745,0.009536
82,0.03797,0.020946,0.030547,0.017599,0.020162,0.011237
83,0.043567,0.024667,0.035069,0.020754,0.023324,0.013343
84,0.049975,0.028996,0.040256,0.024456,0.02697,0.015844
85,0.057258,0.033986,0.046164,0.028766,0.031142,0.018792
86,0.065421,0.039756,0.052801,0.033797,0.035854,0.022273
87,0.074528,0.046377,0.06023,0.039628,0.041159,0.026353
88,0.084578,0.053839,0.068472,0.046269,0.04709,0.031049
89,0.095548,0.062095,0.077529,0.053701,0.053666,0.036366
90,0.105787,0.070867,0.087145,0.061676,0.060681,0.042123
91,0.115238,0.079822,0.097058,0.069869,0.067908,0.048071
92,0.124748,0.088901,0.107098,0.07821,0.075209,0.054145
93,0.134291,0.098033,0.117125,0.086615,0.082462,0.060268
94,0.143813,0.107136,0.126959,0.094985,0.089515,0.066351
95,0.153263,0.116083,0.136406,0.103179,0.096209,0.072275
96,0.162599,0.124729,0.145265,0.111033,0.102378,0.077904
97,0.171791,0.132917,0.153355,0.118374,0.107876,0.083095
98,0.180888,0.14052,0.161069,0.125055,0.113045,0.087727
99,0.189898,0.147409,0.168666,0.130927,0.118108,0.091681
100,0.196377,0.161812,0.173981,0.143358,0.121553,0.100158
101,0.205259,0.17007,0.181392,0.150295,0.126442,0.104765
102,0.214172,0.178439,0.188792,0.157293,0.131302,0.109394
103,0.223117,0.186919,0.196181,0.164354,0.13613,0.114045
104,0.23209,0.195516,0.203556,0.171479,0.140927,0.118719
105,0.241088,0.20423,0.210915,0.178671,0.14569,0.123417
106,0.250107,0.213063,0.218255,0.185929,0.150416,0.128138
107,0.259143,0.222016,0.22557,0.193253,0.155105,0.132883
108,0.268191,0.231089,0.232858,0.200644,0.159752,0.137652
109,0.277244,0.240283,0.240111,0.208101,0.164354,0.142443
110,0.286295,0.249596,0.247326,0.215622,0.168907,0.147255
111,0.295336,0.259025,0.254493,0.223204,0.173407,0.152087
112,0.304356,0.268568,0.261605,0.230844,0.177848,0.156935
113,0.313345,0.278218,0.268653,0.238536,0.182224,0.161796
114,0.322289,0.287969,0.275625,0.246274,0.186528,0.166665
115,0.331173,0.29781,0.282509,0.254049,0.190752,0.171536
116,0.339979,0.30773,0.289291,0.26185,0.194887,0.176401
117,0.348689,0.317711,0.295955,0.269662,0.198923,0.18125
118,0.35728,0.327734,0.302482,0.277468,0.202848,0.186074
119,0.365725,0.337774,0.308852,0.285248,0.206649,0.190855
120,0.373997,0.347799,0.315042,0.292973,0.210311,0.195579
121,1,1,1,1,1,1
