,Selektionstafel,Selektionstafel,Aggregattafel,Aggregattafel,Selektionstafel,Selektionstafel,Aggregattafel,Aggregattafel,Selektionstafel,Selektionstafel,Aggregattafel,Aggregattafel
40,0.001284,0.00089,0.001495,0.000881,0.001204,0.000826,0.001401,0.000817,0.001083,0.000743,0.001261,0.000735
41,0.001386,0.000986,0.001626,0.000968,0.001299,0.000915,0.001524,0.000899,0.001169,0.000823,0.001372,0.000809
42,0.001527,0.001082,0.001758,0.001059,0.001431,0.001004,0.001648,0.000983,0.001288,0.000903,0.001483,0.000885
43,0.001663,0.001198,0.0019,0.001149,0.001559,0.001111,0.001781,0.001066,0.001403,0.001,0.001603,0.000959
44,0.001815,0.001292,0.002053,0.001237,0.001702,0.001198,0.001924,0.001148,0.001532,0.001079,0.001732,0.001033
45,0.002038,0.001437,0.002217,0.001332,0.00191,0.001334,0.002079,0.001236,0.001719,0.0012,0.001871,0.001113
46,0.002219,0.001546,0.0024,0.00144,0.00208,0.001434,0.00225,0.001336,0.001872,0.001291,0.002025,0.001203
47,0.002458,0.001671,0.002601,0.001558,0.002304,0.00155,0.002438,0.001446,0.002074,0.001395,0.002194,0.001301
48,0.002688,0.00186,0.002813,0.001683,0.00252,0.001726,0.002637,0.001562,0.002268,0.001553,0.002373,0.001406
49,0.002994,0.001976,0.003038,0.001811,0.002807,0.001833,0.002848,0.00168,0.002526,0.00165,0.002563,0.001512
50,0.003364,0.002183,0.003274,0.001935,0.003153,0.002025,0.003069,0.001796,0.002838,0.001823,0.002762,0.001616
51,0.003591,0.002353,0.003534,0.00206,0.003366,0.002183,0.003312,0.001911,0.003029,0.001965,0.002981,0.00172
52,0.00398,0.002502,0.003807,0.002182,0.003731,0.002321,0.003568,0.002025,0.003358,0.002089,0.003212,0.001822
53,0.004366,0.002709,0.004088,0.002312,0.004093,0.002514,0.003832,0.002146,0.003684,0.002262,0.003449,0.001931
54,0.004805,0.002957,0.004367,0.002458,0.004505,0.002744,0.004093,0.00228,0.004054,0.00247,0.003684,0.002052
55,0.005238,0.003141,0.004636,0.002618,0.00491,0.002914,0.004346,0.002429,0.004419,0.002623,0.003911,0.002186
56,0.005775,0.003445,0.004901,0.002803,0.005414,0.003197,0.004594,0.0026,0.004872,0.002877,0.004134,0.00234
57,0.006387,0.00372,0.005179,0.003013,0.005987,0.003451,0.004855,0.002796,0.005388,0.003106,0.00437,0.002516
58,0.00698,0.004061,0.005485,0.00324,0.006543,0.003768,0.005142,0.003007,0.005888,0.003391,0.004627,0.002706
59,0.007753,0.004468,0.005846,0.00349,0.007268,0.004145,0.00548,0.003238,0.006541,0.003731,0.004932,0.002914
60,0.008565,0.004935,0.006281,0.003766,0.008029,0.004579,0.005888,0.003494,0.007226,0.004121,0.005299,0.003145
61,0.00939,0.005379,0.006848,0.004074,0.008802,0.004991,0.006419,0.00378,0.007922,0.004492,0.005777,0.003402
62,0.010182,0.005822,0.007566,0.004421,0.009544,0.005402,0.007092,0.004102,0.00859,0.004862,0.006383,0.003692
63,0.010939,0.006221,0.008438,0.004815,0.010254,0.005772,0.007909,0.004467,0.009229,0.005195,0.007119,0.004021
64,0.011774,0.006591,0.009439,0.00525,0.011037,0.006115,0.008848,0.004871,0.009933,0.005504,0.007963,0.004384
65,0.012699,0.006977,0.010533,0.005783,0.011904,0.006474,0.009873,0.005366,0.010714,0.005827,0.008886,0.00483
66,0.013823,0.007504,0.011779,0.006321,0.012958,0.006962,0.011042,0.005865,0.011662,0.006266,0.009938,0.005278
67,0.015212,0.008268,0.013339,0.007071,0.01426,0.007671,0.012504,0.006561,0.012834,0.006904,0.011253,0.005905
68,0.016712,0.009222,0.015038,0.007992,0.015666,0.008557,0.014097,0.007415,0.014099,0.007701,0.012687,0.006674
69,0.018321,0.010313,0.016869,0.009039,0.017174,0.009569,0.015813,0.008387,0.015456,0.008612,0.014231,0.007548
70,0.020056,0.01154,0.018832,0.010209,0.0188,0.010707,0.017653,0.009473,0.01692,0.009637,0.015887,0.008525
71,0.021984,0.013015,0.020937,0.011591,0.020608,0.012076,0.019626,0.010755,0.018547,0.010869,0.017663,0.009679
72,0.02419,0.014689,0.02323,0.013131,0.022675,0.013629,0.021775,0.012183,0.020408,0.012266,0.019598,0.010965
73,0.026683,0.016504,0.025719,0.014778,0.025012,0.015313,0.024109,0.013712,0.022511,0.013782,0.021698,0.012341
74,0.029483,0.018588,0.028436,0.016656,0.027637,0.017247,0.026656,0.015454,0.024873,0.015522,0.02399,0.013909
75,0.032731,0.020976,0.031542,0.018808,0.030682,0.019462,0.029567,0.017451,0.027614,0.017516,0.02661,0.015706
76,0.036376,0.023574,0.035006,0.021163,0.034099,0.021873,0.032815,0.019636,0.030689,0.019686,0.029533,0.017672
77,0.040539,0.026251,0.038965,0.023618,0.038,0.024357,0.036525,0.021914,0.0342,0.021922,0.032873,0.019722
78,0.045283,0.029312,0.043496,0.026468,0.042448,0.027197,0.040773,0.024558,0.038203,0.024477,0.036696,0.022102
79,0.050717,0.032944,0.048724,0.029908,0.047541,0.030567,0.045673,0.02775,0.042787,0.02751,0.041106,0.024975
80,0.056992,0.037376,0.054808,0.034171,0.053423,0.034679,0.051377,0.031705,0.048081,0.031211,0.046239,0.028535
81,0.064088,0.042803,0.061748,0.039454,0.060076,0.039715,0.057882,0.036608,0.054068,0.035743,0.052094,0.032947
82,0.072092,0.049385,0.069628,0.045913,0.067579,0.045822,0.065269,0.0426,0.060821,0.04124,0.058742,0.03834
83,0.081033,0.057051,0.078479,0.053487,0.075959,0.052935,0.073565,0.049627,0.068363,0.047641,0.066209,0.044665
84,0.091012,0.065553,0.088405,0.061956,0.085314,0.060823,0.08287,0.057486,0.076782,0.054741,0.074583,0.051737
85,0.102071,0.074862,0.099447,0.071302,0.095681,0.06946,0.093221,0.066157,0.086113,0.062514,0.083899,0.059541
86,0.114141,0.085115,0.111543,0.081656,0.106995,0.078974,0.104559,0.075764,0.096295,0.071076,0.094103,0.068187
87,0.127192,0.096333,0.124661,0.093028,0.119229,0.089382,0.116856,0.086315,0.107306,0.080444,0.105171,0.077684
88,0.141021,0.108385,0.138599,0.105275,0.132192,0.100565,0.129921,0.097679,0.118973,0.090508,0.116929,0.087911
89,0.155425,0.121035,0.15315,0.118149,0.145694,0.112302,0.143562,0.109624,0.131124,0.101071,0.129206,0.098662
90,0.170231,0.133899,0.168138,0.131265,0.159573,0.124237,0.157611,0.121794,0.143616,0.111814,0.14185,0.109614
91,0.185449,0.14667,0.183559,0.144313,0.173838,0.136087,0.172067,0.1339,0.156454,0.122478,0.15486,0.12051
92,0.200989,0.159395,0.199321,0.157333,0.188405,0.147894,0.186841,0.145981,0.169564,0.133104,0.168157,0.131383
93,0.21685,0.172113,0.215417,0.170365,0.203273,0.159695,0.20193,0.158072,0.182946,0.143725,0.181737,0.142265
94,0.232997,0.18486,0.23181,0.183442,0.218409,0.171521,0.217297,0.170206,0.196568,0.154369,0.195567,0.153185
95,0.249388,0.197618,0.24846,0.196546,0.233774,0.183359,0.232904,0.182365,0.210397,0.165023,0.209614,0.164128
96,0.265999,0.210358,0.265339,0.209643,0.249345,0.195179,0.248727,0.194516,0.224411,0.175662,0.223854,0.175065
97,0.282823,0.223038,0.282439,0.222688,0.265116,0.206945,0.264756,0.20662,0.238604,0.18625,0.23828,0.185958
98,0.299824,0.235681,0.299718,0.235701,0.281052,0.218676,0.280953,0.218694,0.252947,0.196808,0.252858,0.196824
99,0.316929,0.248296,0.317104,0.248685,0.297086,0.23038,0.297251,0.230742,0.267377,0.207342,0.267526,0.207667
100,0.330487,0.275117,0.330487,0.275117,0.309795,0.255266,0.309795,0.255266,0.278816,0.229739,0.278816,0.229739
101,0.348131,0.291416,0.348131,0.291416,0.326335,0.270389,0.326335,0.270389,0.293701,0.24335,0.293701,0.24335
102,0.366086,0.308144,0.366086,0.308144,0.343166,0.28591,0.343166,0.28591,0.30885,0.257319,0.30885,0.257319
103,0.384354,0.325311,0.384354,0.325311,0.36029,0.301838,0.36029,0.301838,0.324261,0.271655,0.324261,0.271655
104,0.402934,0.34293,0.402934,0.34293,0.377706,0.318186,0.377706,0.318186,0.339936,0.286368,0.339936,0.286368
105,0.421824,0.361012,0.421824,0.361012,0.395414,0.334963,0.395414,0.334963,0.355873,0.301467,0.355873,0.301467
106,0.441023,0.379567,0.441023,0.379567,0.413411,0.35218,0.413411,0.35218,0.372069,0.316962,0.372069,0.316962
107,0.460525,0.398606,0.460525,0.398606,0.431692,0.369844,0.431692,0.369844,0.388523,0.33286,0.388523,0.33286
108,0.480327,0.418136,0.480327,0.418136,0.450254,0.387966,0.450254,0.387966,0.405229,0.349169,0.405229,0.349169
109,0.500419,0.438167,0.500419,0.438167,0.469088,0.406552,0.469088,0.406552,0.42218,0.365896,0.42218,0.365896
110,0.520793,0.458705,0.520793,0.458705,0.488186,0.425607,0.488186,0.425607,0.439368,0.383046,0.439368,0.383046
111,0.541435,0.479752,0.541435,0.479752,0.507536,0.445136,0.507536,0.445136,0.456782,0.400622,0.456782,0.400622
112,0.56233,0.501312,0.56233,0.501312,0.527123,0.46514,0.527123,0.46514,0.474411,0.418626,0.474411,0.418626
113,0.583459,0.523382,0.583459,0.523382,0.54693,0.485617,0.54693,0.485617,0.492237,0.437055,0.492237,0.437055
114,0.604801,0.545956,0.604801,0.545956,0.566935,0.506563,0.566935,0.506563,0.510241,0.455906,0.510241,0.455906
115,0.626326,0.569024,0.626326,0.569024,0.587112,0.527966,0.587112,0.527966,0.528401,0.47517,0.528401,0.47517
116,0.648003,0.59257,0.648003,0.59257,0.607432,0.549813,0.607432,0.549813,0.546689,0.494832,0.546689,0.494832
117,0.669795,0.616569,0.669795,0.616569,0.62786,0.57208,0.62786,0.57208,0.565074,0.514872,0.565074,0.514872
118,0.691657,0.640988,0.691657,0.640988,0.648353,0.594737,0.648353,0.594737,0.583517,0.535264,0.583517,0.535264
119,0.713536,0.665783,0.713536,0.665783,0.668862,0.617744,0.668862,0.617744,0.601976,0.555969,0.601976,0.555969
120,0.735375,0.690898,0.735375,0.690898,0.689333,0.641046,0.689333,0.641046,0.6204,0.576942,0.6204,0.576942
121,1,1,1,1,0,0,0,0,1,1,1,1
