"Jahr","Alter","Geschlecht","qx"
"2020-2022",60,"U",0.00631269586398162
"2020-2022",61,"M",0.00938824219936506
"2020-2022",61,"F",0.00479937657423386
"2020-2022",61,"U",0.00706410609422891
"2020-2022",62,"M",0.0105063571315905
"2020-2022",62,"F",0.00538926691625154
"2020-2022",62,"U",0.00790120703647388
"2020-2022",63,"M",0.0117167702186774
"2020-2022",63,"F",0.00602270183707226
"2020-2022",63,"U",0.0088015834855797
"2020-2022",64,"M",0.0129914768233659
"2020-2022",64,"F",0.00668305201552852
"2020-2022",64,"U",0.00974243962678531
"2020-2022",65,"M",0.0143024723083959
"2020-2022",65,"F",0.0073536881304526
"2020-2022",65,"U",0.0107009796453294
"2020-2022",66,"M",0.0156263188649238
"2020-2022",66,"F",0.00802177793555013
"2020-2022",66,"U",0.0116586745842483
"2020-2022",67,"M",0.0169960123776353
"2020-2022",67,"F",0.00872141079842554
"2020-2022",67,"U",0.0126497223515517
"2020-2022",68,"M",0.0184826111777966
"2020-2022",68,"F",0.00951832298609476
"2020-2022",68,"U",0.0137438831825742
"2020-2022",69,"M",0.020157886578989
"2020-2022",69,"F",0.0104788435724376
"2020-2022",69,"U",0.0150115834629567
"2020-2022",70,"M",0.0220936098947935
"2020-2022",70,"F",0.0116693016313341
"2020-2022",70,"U",0.0165232495783405
"2020-2022",71,"M",0.0243537041848234
"2020-2022",71,"F",0.0131476970519972
"2020-2022",71,"U",0.0183407463117382
"2020-2022",72,"M",0.0269210701550426
"2020-2022",72,"F",0.0148860424265381
"2020-2022",72,"U",0.0204375517554728
"2020-2022",73,"M",0.0297308096701913
"2020-2022",73,"F",0.0168056224556115
"2020-2022",73,"U",0.0227350005969383
"2020-2022",74,"M",0.0327174068024238
"2020-2022",74,"F",0.0188270661897678
"2020-2022",74,"U",0.0251537535781327
"2020-2022",75,"M",0.0358153456238934
"2020-2022",75,"F",0.0208710026795566
"2020-2022",75,"U",0.0276144714410533
"2020-2022",76,"M",0.038977689363643
"2020-2022",76,"F",0.0228812370626781
"2020-2022",76,"U",0.0300600708109623
"2020-2022",77,"M",0.0423192087273373
"2020-2022",77,"F",0.0250032922723969
"2020-2022",77,"U",0.0326271769267151
"2020-2022",78,"M",0.046037936568179
"2020-2022",78,"F",0.027486554447354
"2020-2022",78,"U",0.0355521543558693
"2020-2022",79,"M",0.0503325938562931
"2020-2022",79,"F",0.0305812680997889
"2020-2022",79,"U",0.0390721919579556
"2020-2022",80,"M",0.0554019015618034
"2020-2022",80,"F",0.03453767774194
"2020-2022",80,"U",0.0434244785925036
"2020-2022",81,"M",0.0614470972654435
"2020-2022",81,"F",0.0395905518653644
"2020-2022",81,"U",0.04883430015398
"2020-2022",82,"M",0.0686880178732279
"2020-2022",82,"F",0.0458602814962635
"2020-2022",82,"U",0.0554389721856764
"2020-2022",83,"M",0.0773528365638126
"2020-2022",83,"F",0.0534159933423287
"2020-2022",83,"U",0.0633363816591104
"2020-2022",84,"M",0.0876697658378948
"2020-2022",84,"F",0.0623265722984281
"2020-2022",84,"U",0.0726242295619705
"2020-2022",85,"M",0.0998670181961714
"2020-2022",85,"F",0.0726609032594301
"2020-2022",85,"U",0.0834002168819455
"2020-2022",86,"M",0.114114847284691
"2020-2022",86,"F",0.0844897598331453
"2020-2022",86,"U",0.095750282245884
"2020-2022",87,"M",0.130217786730578
"2020-2022",87,"F",0.0978958333945183
"2020-2022",87,"U",0.109686143855558
"2020-2022",88,"M",0.147838109662645
"2020-2022",88,"F",0.112966451180365
"2020-2022",88,"U",0.125190649098702
"2020-2022",89,"M",0.16663777068964
"2020-2022",89,"F",0.129788950807156
"2020-2022",89,"U",0.142246580721539
"2020-2022",90,"M",0.186278724420311
"2020-2022",90,"F",0.148450669891364
"2020-2022",90,"U",0.160836721470292
"2020-2022",91,"M",0.206530216711736
"2020-2022",91,"F",0.168994151966152
"2020-2022",91,"U",0.180933330428756
"2020-2022",92,"M",0.227741808087889
"2020-2022",92,"F",0.191219659260859
"2020-2022",92,"U",0.202451746514806
"2020-2022",93,"M",0.250458361523406
"2020-2022",93,"F",0.214845915255099
"2020-2022",93,"U",0.22528815240483
"2020-2022",94,"M",0.275224887168848
"2020-2022",94,"F",0.239591581982555
"2020-2022",94,"U",0.249338716339468
"2020-2022",95,"M",0.302586395174776
"2020-2022",95,"F",0.265175321476909
"2020-2022",95,"U",0.274499606559357
"2020-2022",96,"M",0.330798926647359
"2020-2022",96,"F",0.292497384507409
"2020-2022",96,"U",0.301103077476578
"2020-2022",97,"M",0.36106144084243
"2020-2022",97,"F",0.320938853882133
"2020-2022",97,"U",0.32892070540729
"2020-2022",98,"M",0.393101448453564
"2020-2022",98,"F",0.350640392000743
"2020-2022",98,"U",0.358004404684483
"2020-2022",99,"M",0.426918949480761
"2020-2022",99,"F",0.381601998863241
"2020-2022",99,"U",0.388354175308156
"2020-2022",100,"M",0.462513943924016
"2020-2022",100,"F",0.413823674469623
"2020-2022",100,"U",0.419970017278312
"2020-2022",101,"M",0.499886431783331
"2020-2022",101,"F",0.447305418819894
"2020-2022",101,"U",0.45285193059495
"2020-2022",102,"M",0.539036413058705
"2020-2022",102,"F",0.482047231914052
"2020-2022",102,"U",0.486999915258069
"2020-2022",103,"M",0.579963887750141
"2020-2022",103,"F",0.518049113752097
"2020-2022",103,"U",0.522413971267668
"2020-2022",104,"M",0.62266885585764
"2020-2022",104,"F",0.555311064334027
"2020-2022",104,"U",0.559094098623751
"2020-2022",105,"M",0.667151317381194
"2020-2022",105,"F",0.593833083659844
"2020-2022",105,"U",0.597040297326315
"2020-2022",106,"M",0.71341127232081
"2020-2022",106,"F",0.63361517172955
"2020-2022",106,"U",0.636252567375361
"2020-2022",107,"M",0.761448720676487
"2020-2022",107,"F",0.674657328543142
"2020-2022",107,"U",0.676730908770888
"2020-2022",108,"M",NA
"2020-2022",108,"F",0.716959554100619
"2020-2022",108,"U",0.718475321512894
"2020-2022",109,"M",NA
"2020-2022",109,"F",0.760521848401984
"2020-2022",109,"U",0.761485805601385
"2020-2022",110,"M",NA
"2020-2022",110,"F",0.805344211447236
"2020-2022",110,"U",0.805762361036357
"2019-2021",0,"M",0.00307454627498069
"2019-2021",0,"F",0.00278490821911174
"2019-2021",0,"U",0.00293363389662769
"2019-2021",1,"M",0.000257866267496858
"2019-2021",1,"F",0.000194603000962478
"2019-2021",1,"U",0.000227067647077736
"2019-2021",2,"M",0.000191421852629119
"2019-2021",2,"F",0.000132690057717511
"2019-2021",2,"U",0.000162870628304971
"2019-2021",3,"M",0.000144377622748922
"2019-2021",3,"F",9.63712690491524e-05
"2019-2021",3,"U",0.000121059562148506
"2019-2021",4,"M",0.000112413902402148
"2019-2021",4,"F",7.81922935409679e-05
"2019-2021",4,"U",9.58000701160525e-05
"2019-2021",5,"M",9.12110161337541e-05
"2019-2021",5,"F",7.06987897760298e-05
"2019-2021",5,"U",8.1257773713675e-05
"2019-2021",6,"M",7.64494197792032e-05
"2019-2021",6,"F",6.64366264301929e-05
"2019-2021",6,"U",7.15984636878652e-05
"2019-2021",7,"M",6.50247920448406e-05
"2019-2021",7,"F",5.9896394000523e-05
"2019-2021",7,"U",6.25544716460715e-05
"2019-2021",8,"M",5.80182876003322e-05
"2019-2021",8,"F",5.22667024226183e-05
"2019-2021",8,"U",5.52536161148899e-05
"2019-2021",9,"M",5.74114839065059e-05
"2019-2021",9,"F",4.6177108705605e-05
"2019-2021",9,"U",5.19844484563944e-05
"2019-2021",10,"M",6.51859584269753e-05
"2019-2021",10,"F",4.42571698612757e-05
"2019-2021",10,"U",5.50355200352823e-05
"2019-2021",11,"M",8.33226888293354e-05
"2019-2021",11,"F",4.91355119847495e-05
"2019-2021",11,"U",6.66946277912327e-05
"2019-2021",12,"M",0.000113006734009625
"2019-2021",12,"F",6.22054445404803e-05
"2019-2021",12,"U",8.82484565479622e-05
"2019-2021",13,"M",0.000153058188417771
"2019-2021",13,"F",8.11897015851025e-05
"2019-2021",13,"U",0.000118009022577199
"2019-2021",14,"M",0.000201859901010549
"2019-2021",14,"F",0.00010313238431077
"2019-2021",14,"U",0.000153738371752339
"2019-2021",15,"M",0.00025779472073466
"2019-2021",15,"F",0.000125077593900885
"2019-2021",15,"U",0.000193198549936814
"2019-2021",16,"M",0.000319243003798272
"2019-2021",16,"F",0.000144071602936994
"2019-2021",16,"U",0.000234151320625038
"2019-2021",17,"M",0.000383471774743164
"2019-2021",17,"F",0.000158130493822116
"2019-2021",17,"U",0.000274232331700789
"2019-2021",18,"M",0.000444885930640203
"2019-2021",18,"F",0.00016776351374604
"2019-2021",18,"U",0.000310753015925016
"2019-2021",19,"M",0.000497436782158489
"2019-2021",19,"F",0.000173875023565175
"2019-2021",19,"U",0.000340973424854627
"2019-2021",20,"M",0.000535075639963491
"2019-2021",20,"F",0.000177369384132631
"2019-2021",20,"U",0.000362153610043372
"2019-2021",21,"M",0.000551775038214258
"2019-2021",21,"F",0.000179151534006007
"2019-2021",21,"U",0.000371565028411198
"2019-2021",22,"M",0.000546006891923735
"2019-2021",22,"F",0.000180248885327161
"2019-2021",22,"U",0.000368897074792457
"2019-2021",23,"M",0.000526281829039018
"2019-2021",23,"F",0.000181962104971523
"2019-2021",23,"U",0.000359233882849457
"2019-2021",24,"M",0.000502468781160495
"2019-2021",24,"F",0.000185628832971384
"2019-2021",24,"U",0.000348389529765258
"2019-2021",25,"M",0.000484436679888868
"2019-2021",25,"F",0.000192586709359295
"2019-2021",25,"U",0.000342178092723148
"2019-2021",26,"M",0.000482013089920327
"2019-2021",26,"F",0.000204165593346468
"2019-2021",26,"U",0.000346388064547503
"2019-2021",27,"M",0.000500020180543566
"2019-2021",27,"F",0.000220753864803407
"2019-2021",27,"U",0.000363712230675315
"2019-2021",28,"M",0.000533558898561264
"2019-2021",28,"F",0.000240911410665706
"2019-2021",28,"U",0.000390831052278332
"2019-2021",29,"M",0.000576613284363
"2019-2021",29,"F",0.000262988035702146
"2019-2021",29,"U",0.000423734212846957
"2019-2021",30,"M",0.000623167378338088
"2019-2021",30,"F",0.000285333544681295
"2019-2021",30,"U",0.000458411395871371
"2019-2021",31,"M",0.000667244105774524
"2019-2021",31,"F",0.000306313729726288
"2019-2021",31,"U",0.000490881298657231
"2019-2021",32,"M",0.00070587493097009
"2019-2021",32,"F",0.000325531330505108
"2019-2021",32,"U",0.000519407428161019
"2019-2021",33,"M",0.000741191000669891
"2019-2021",33,"F",0.000344685798631781
"2019-2021",33,"U",0.000546058399511664
"2019-2021",34,"M",0.000775817443850118
"2019-2021",34,"F",0.000365679684336054
"2019-2021",34,"U",0.00057327141075372
"2019-2021",35,"M",0.000812379389486926
"2019-2021",35,"F",0.000390415537847616
"2019-2021",35,"U",0.000603483659931605
"2019-2021",36,"M",0.000853500991391839
"2019-2021",36,"F",0.000420780998364195
"2019-2021",36,"U",0.000639121537723913
"2019-2021",37,"M",0.000901754344385411
"2019-2021",37,"F",0.000457867682046484
"2019-2021",37,"U",0.000682034485326417
"2019-2021",38,"M",0.000959634357467422
"2019-2021",38,"F",0.000501586972984441
"2019-2021",38,"U",0.000733216523612583
"2019-2021",39,"M",0.0010296296934684
"2019-2021",39,"F",0.000551754746414597
"2019-2021",39,"U",0.0007935924496005
"2019-2021",40,"M",0.00111422901521899
"2019-2021",40,"F",0.00060818687757366
"2019-2021",40,"U",0.000864087060308346
"2019-2021",41,"M",0.00121587039004985
"2019-2021",41,"F",0.000670707427338997
"2019-2021",41,"U",0.000945609166374635
"2019-2021",42,"M",0.00133502498522899
"2019-2021",42,"F",0.0007394586733685
"2019-2021",42,"U",0.0010384461079241
"2019-2021",43,"M",0.00146960889527303
"2019-2021",43,"F",0.000814996268172368
"2019-2021",43,"U",0.00114207791290209
"2019-2021",44,"M",0.00161736745488692
"2019-2021",44,"F",0.000897903490798611
"2019-2021",44,"U",0.00125593065522282
"2019-2021",45,"M",0.00177604599877533
"2019-2021",45,"F",0.000988763620295156
"2019-2021",45,"U",0.00137943040880038
"2019-2021",46,"M",0.00194355725391296
"2019-2021",46,"F",0.00108816190135098
"2019-2021",46,"U",0.00151208313552454
"2019-2021",47,"M",0.00212274455663465
"2019-2021",47,"F",0.00119674147744948
"2019-2021",47,"U",0.00165574793104592
"2019-2021",48,"M",0.00232206933199951
"2019-2021",48,"F",0.00131521146374869
"2019-2021",48,"U",0.00181496512436369
"2019-2021",49,"M",0.00255029862799182
"2019-2021",49,"F",0.00144428456425339
"2019-2021",49,"U",0.0019944209030458
"2019-2021",50,"M",0.00281619949259519
"2019-2021",50,"F",0.00158467348296775
"2019-2021",50,"U",0.00219880145465955
"2019-2021",51,"M",0.00312834027598718
"2019-2021",51,"F",0.00173715505557697
"2019-2021",51,"U",0.00243271957234548
"2019-2021",52,"M",0.00349071927878444
"2019-2021",52,"F",0.00190398114640896
"2019-2021",52,"U",0.00269909997740809
"2019-2021",53,"M",0.00390276475204459
"2019-2021",53,"F",0.00208887864843629
"2019-2021",53,"U",0.00299917931931759
"2019-2021",54,"M",0.00436370624901776
"2019-2021",54,"F",0.00229563858631101
"2019-2021",54,"U",0.00333412085311596
"2019-2021",55,"M",0.0048727733229544
"2019-2021",55,"F",0.00252805198468558
"2019-2021",55,"U",0.0037050878338456
"2019-2021",56,"M",0.00542955917728283
"2019-2021",56,"F",0.00278996803564463
"2019-2021",56,"U",0.00411345059210307
"2019-2021",57,"M",0.00604034178546056
"2019-2021",57,"F",0.00308630518940176
"2019-2021",57,"U",0.00456438600814065
"2019-2021",58,"M",0.00671726588298563
"2019-2021",58,"F",0.00342292031035346
"2019-2021",58,"U",0.00506641170855318
"2019-2021",59,"M",0.00747267537964526
"2019-2021",59,"F",0.00380570212169209
"2019-2021",59,"U",0.00562815873697407
"2019-2021",60,"M",0.00831891418522747
"2019-2021",60,"F",0.00424053934661075
"2019-2021",60,"U",0.00625825813703745
"2019-2021",61,"M",0.00926746571695393
"2019-2021",61,"F",0.00473290069569896
"2019-2021",61,"U",0.00696471257743448
"2019-2021",62,"M",0.0103169378736551
"2019-2021",62,"F",0.00528197024652313
"2019-2021",62,"U",0.00774612237586647
"2019-2021",63,"M",0.0114560269546075
"2019-2021",63,"F",0.00588209415370322
"2019-2021",63,"U",0.00859384990162375
"2019-2021",64,"M",0.0126731742983276
"2019-2021",64,"F",0.00652749412368075
"2019-2021",64,"U",0.0094990713388287
"2019-2021",65,"M",0.0139568212433317
"2019-2021",65,"F",0.00721239186289705
"2019-2021",65,"U",0.0104529628716036
"2019-2021",66,"M",0.0152980013761703
"2019-2021",66,"F",0.00793327683028758
"2019-2021",66,"U",0.0114491586461649
"2019-2021",67,"M",0.0167197814840685
"2019-2021",67,"F",0.00871466179496683
"2019-2021",67,"U",0.0125116665970304
"2019-2021",68,"M",0.0182668335676138
"2019-2021",68,"F",0.00959996021604559
"2019-2021",68,"U",0.0136849806595873
"2019-2021",69,"M",0.0199842343343003
"2019-2021",69,"F",0.0106329395986538
"2019-2021",69,"U",0.0150139785111423
"2019-2021",70,"M",0.0219170604916224
"2019-2021",70,"F",0.0118573674479214
"2019-2021",70,"U",0.016543537829002
"2019-2021",71,"M",0.0241047347292269
"2019-2021",71,"F",0.0133099695239925
"2019-2021",71,"U",0.0183118705700941
"2019-2021",72,"M",0.0265283098323942
"2019-2021",72,"F",0.0149547753217195
"2019-2021",72,"U",0.0202883743593868
"2019-2021",73,"M",0.0291344034747911
"2019-2021",73,"F",0.0167129274401076
"2019-2021",73,"U",0.0224018500583735
"2019-2021",74,"M",0.0318691882616243
"2019-2021",74,"F",0.0185050141717054
"2019-2021",74,"U",0.0245805738216958
"2019-2021",75,"M",0.0346788367981003
"2019-2021",75,"F",0.020251623809061
"2019-2021",75,"U",0.0267528218039948
"2019-2021",76,"M",0.0375318512909088
"2019-2021",76,"F",0.0219020529748955
"2019-2021",76,"U",0.0288732317639758
"2019-2021",77,"M",0.0405910841818685
"2019-2021",77,"F",0.0236554670915757
"2019-2021",77,"U",0.031125885051268
"2019-2021",78,"M",0.0441194576083332
"2019-2021",78,"F",0.0258396874314999
"2019-2021",78,"U",0.0338130020559346
"2019-2021",79,"M",0.0483807207299343
"2019-2021",79,"F",0.0287835985385544
"2019-2021",79,"U",0.0372377795237448
"2019-2021",80,"M",0.0536386227063018
"2019-2021",80,"F",0.0328160849566245
"2019-2021",80,"U",0.0417034142004671
"2019-2021",81,"M",0.060135066045196
"2019-2021",81,"F",0.0382271086456415
"2019-2021",81,"U",0.04747917387163
"2019-2021",82,"M",0.0679504928428915
"2019-2021",82,"F",0.0450189693434942
"2019-2021",82,"U",0.0545835701009817
"2019-2021",83,"M",0.0770929781613399
"2019-2021",83,"F",0.0530650357287204
"2019-2021",83,"U",0.0629227247714722
"2019-2021",84,"M",0.0875702557085576
"2019-2021",84,"F",0.0622380683144841
"2019-2021",84,"U",0.0724022296260484
"2019-2021",85,"M",0.0993900591925608
"2019-2021",85,"F",0.0724108276139487
"2019-2021",85,"U",0.0829276764076566
"2019-2021",86,"M",0.112568142495346
"2019-2021",86,"F",0.0835118905404669
"2019-2021",86,"U",0.0944475768411406
"2019-2021",87,"M",0.127170866747751
"2019-2021",87,"F",0.0958220351517519
"2019-2021",87,"U",0.107181267475034
"2019-2021",88,"M",0.143284278665394
"2019-2021",88,"F",0.10975904133126
"2019-2021",88,"U",0.121453432315979
"2019-2021",89,"M",0.160994469039752
"2019-2021",89,"F",0.125740995708388
"2019-2021",89,"U",0.137588991242697
"2019-2021",90,"M",0.180387528662304
"2019-2021",90,"F",0.144185984912533
"2019-2021",90,"U",0.155912864133907
"2019-2021",91,"M",0.201486110324266
"2019-2021",91,"F",0.165333865663654
"2019-2021",91,"U",0.17660189580488
"2019-2021",92,"M",0.223969744683764
"2019-2021",92,"F",0.188460488463724
"2019-2021",92,"U",0.199032025755137
"2019-2021",93,"M",0.247402486093919
"2019-2021",93,"F",0.212517271592738
"2019-2021",93,"U",0.222309652182147
"2019-2021",94,"M",0.271348301887278
"2019-2021",94,"F",0.236455388845218
"2019-2021",94,"U",0.245540970162576
"2019-2021",95,"M",0.295371159396389
"2019-2021",95,"F",0.259226014015684
"2019-2021",95,"U",0.267832174773091
"2019-2021",96,"M",0.320866319646814
"2019-2021",96,"F",0.284185268718931
"2019-2021",96,"U",0.292043340207957
"2019-2021",97,"M",0.346874548064687
"2019-2021",97,"F",0.309025840082395
"2019-2021",97,"U",0.316208182687613
"2019-2021",98,"M",0.373613851660104
"2019-2021",98,"F",0.334272115013944
"2019-2021",98,"U",0.340773582910783
"2019-2021",99,"M",0.401084230433062
"2019-2021",99,"F",0.359924093513577
"2019-2021",99,"U",0.365739540877468
"2019-2021",100,"M",0.429285684383563
"2019-2021",100,"F",0.385981775581294
"2019-2021",100,"U",0.391106056587666
"2019-2021",101,"M",0.458218213511608
"2019-2021",101,"F",0.412445161217096
"2019-2021",101,"U",0.416873130041379
"2019-2021",102,"M",0.487881817817194
"2019-2021",102,"F",0.439314250420982
"2019-2021",102,"U",0.443040761238605
"2019-2021",103,"M",0.518276497300322
"2019-2021",103,"F",0.466589043192952
"2019-2021",103,"U",0.469608950179345
"2019-2021",104,"M",0.549402251960994
"2019-2021",104,"F",0.494269539533006
"2019-2021",104,"U",0.496577696863599
"2019-2021",105,"M",0.581259081799208
"2019-2021",105,"F",0.522355739441144
"2019-2021",105,"U",0.523947001291367
"2019-2021",106,"M",0.613846986814965
"2019-2021",106,"F",0.550847642917367
"2019-2021",106,"U",0.551716863462649
"2019-2021",107,"M",0.647165967008265
"2019-2021",107,"F",0.579745249961675
"2019-2021",107,"U",0.579887283377446
"2019-2021",108,"M",NA
"2019-2021",108,"F",0.609048560574066
"2019-2021",108,"U",0.608458261035756
"2019-2021",109,"M",NA
"2019-2021",109,"F",0.638757574754542
"2019-2021",109,"U",0.63742979643758
"2019-2021",110,"M",NA
"2019-2021",110,"F",0.668872292503101
"2019-2021",110,"U",0.666801889582918
"2019-2021",111,"M",NA
"2019-2021",111,"F",0.699392713819745
